id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
758680,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,f76638c5-d7d3-4baf-91d4-73deba99e2f4,,,Plantae|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bromus,Plantae,Magnoliophyta,,Poales,Poaceae,"Bromus arizonicus",1818,"(Shear) Stebbins",Bromus,,arizonicus,,,Species,,,,,,,,200PS,W191-15,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f76638c5-d7d3-4baf-91d4-73deba99e2f4,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758680
758699,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,f3750ad7-1994-4854-885e-6384a2beb32e,,,Plantae|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bromus,Plantae,Magnoliophyta,,Poales,Poaceae,"Bromus rubens",1753,L.,Bromus,,rubens,,,Species,,,,,,,,200PS,W191-30,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:f3750ad7-1994-4854-885e-6384a2beb32e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758699
758739,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,1c09c62e-800f-459b-9a72-80898d1cf7fd,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Camissonia",Plantae,Magnoliophyta,,Myrtales,Onagraceae,"Camissonia californica",365,"(Nutt. ex Torr. & A. Gray) Raven",Camissonia,,californica,,,Species,,,,,,,,200PS,W191-1,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:1c09c62e-800f-459b-9a72-80898d1cf7fd,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758739
758777,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,e4190ef2-6feb-43cf-8256-f7548225c010,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Caulanthus",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Caulanthus lasiophyllus",1268,"(Hook. & Arn.) Payson",Caulanthus,,lasiophyllus,,,Species,,,,,,,,200PS,W191-12,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e4190ef2-6feb-43cf-8256-f7548225c010,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758777
758935,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,11132aa4-cf37-46ae-bd41-120644300f39,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Crassulaceae|Crassula",Plantae,Magnoliophyta,,Saxifragales,Crassulaceae,"Crassula connata",1037,"(Ruiz & Pav.) Berger",Crassula,,connata,,,Species,,,,,,,,200PS,W191-2,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:11132aa4-cf37-46ae-bd41-120644300f39,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758935
758962,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,0c75b165-ec60-452f-ac47-9104b9a48929,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Cryptantha",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Cryptantha maritima",1842,"(Greene) Greene",Cryptantha,,maritima,,,Species,,,,,,,,200PS,W191-24,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0c75b165-ec60-452f-ac47-9104b9a48929,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758962
758967,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,5621e959-d18a-4a49-9314-030e15916ccb,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Cryptantha",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Cryptantha barbigera",1891,"(A. Gray) Greene",Cryptantha,,barbigera,,,Species,,,,,,,,200PS,W191-10,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5621e959-d18a-4a49-9314-030e15916ccb,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=758967
759061,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,dae39170-ac84-4c91-a9fa-b69a6d826368,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Descurainia",Plantae,Magnoliophyta,,Brassicales,Brassicaceae,"Descurainia pinnata",2075,"(Walter) Britton",Descurainia,,pinnata,,,Species,,,,,,,,200PS,W191-38,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:dae39170-ac84-4c91-a9fa-b69a6d826368,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=759061
759113,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,d2b598da-4d01-465c-96af-a9dfee462c19,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Encelia",Plantae,Magnoliophyta,,Asterales,Asteraceae,"Encelia farinosa",3673,"A. Gray ex Torr.",Encelia,,farinosa,,,Species,,,,,,,,200PS,W191-40,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d2b598da-4d01-465c-96af-a9dfee462c19,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=759113
759134,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,71991d58-dbb3-49ec-a31e-a86d22703d5e,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Polemoniaceae",Plantae,Magnoliophyta,,Ericales,Polemoniaceae,Eriastrum,4822,"Woot. & Standl.",Eriastrum,,,,,Genus,,,,,,,,200PS,W191-36,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:71991d58-dbb3-49ec-a31e-a86d22703d5e,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=759134
759162,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,0c0faa83-07e6-4e98-aefa-ffbfbe295164,,,"Plantae|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Geraniales|Geraniaceae|Erodium",Plantae,Magnoliophyta,,Geraniales,Geraniaceae,"Erodium cicutarium",2710,"(L.) L'Hér. ex Aiton",Erodium,,cicutarium,,,Species,,,,,,,,200PS,W191-34,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0c0faa83-07e6-4e98-aefa-ffbfbe295164,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=759162
759208,ASU,Plants,,a2e32c87-d320-4a01-bafd-a9182ae2e191,PreservedSpecimen,20e54ea0-bd63-423a-aa0c-27880373ce68,,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Papaveraceae|Eschscholzia,Plantae,Magnoliophyta,,Ranunculales,Papaveraceae,"Eschscholzia californica",466,Cham.,Eschscholzia,,californica,,,Species,,,,,,,,200PS,W191-31,2005-03-14,2005,3,14,73,,,,"in desert wash in S. Mtn. Park; rock outcrop to N",,,,,,"Encelia farinosa, Sphaeralcea cf. ambigua, Lycium, Krameria grayi, Parkinsonia microphylla, Prosopis juliflora, Ambrosia ambrosioides, Ambrosia deltoidea, Larrea tridentata, Olneya tesota",,,,,,,USA,Arizona,Maricopa,,,,33.3612,-112.004,NAD27,,"UTM: 12 406629 3691585",,,,,,476,,,,,,,,Laura,"2020-05-13 17:48:42",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:20e54ea0-bd63-423a-aa0c-27880373ce68,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=759208
